iteration,particle,val_error,train_error,gamma,c,time
0,0,0.052801227935533435,0.026707597851112763,4.099865842166394,5.501028836042609,44.192185163497925
0,1,0.05878741366078277,0.00698388334612432,9.012922182436174,9.142880066464329,92.9579222202301
0,2,0.05295471987720646,0.01811204911742137,7.459915868990112,4.141939011593506,136.62317442893982
0,3,0.05249424405218728,0.02655410590943974,6.479543318097962,2.483140809634569,178.62436485290527
0,4,0.05111281657712974,0.02935533384497313,2.9370689174038023,6.691334389800162,221.54996514320374
0,5,0.04788948580199537,0.045855717574827315,0.5553029473969184,6.6077975064551255,262.05503249168396
0,6,0.04758250191864932,0.04320798158096695,1.263996913994,3.4600344718156038,302.67470502853394
0,7,0.0629316960859555,0.06431312356101304,0.9780135300433324,1.6059514611707548,343.03611183166504
0,8,0.08227168073676128,0.0869531849577897,0.13509643294776774,0.6659543677932123,380.06307721138
0,9,0.0503453568687644,0.04646968534151952,1.344684107723041,3.115909553320526,420.48922395706177
0,10,0.05172678434382194,0.019915579432079777,6.079411061481471,5.475981342704747,464.06259655952454
0,11,0.04834996162701455,0.04182655410590941,2.0327701637710662,2.625842643617341,503.1328194141388
0,12,0.18219493476592474,0.17759017651573294,9.088343485027691,0.039997089251339046,545.9687087535858
0,13,0.05157329240214892,0.04278587874136608,2.97272411308891,2.266047239881522,586.1022047996521
0,14,0.05633154259401385,0.021680736761319985,9.932016943498676,2.0053046478117276,630.8202645778656
0,15,0.06385264773599386,0.06627014581734458,0.1475893646957549,9.308790191998304,669.2741732597351
0,16,0.08442056792018415,0.08798925556408288,0.29854556029397683,0.31319629118356507,705.5636329650879
0,17,0.048196469685341525,0.04363008442056793,0.6108408890551376,8.259399426881526,749.5294389724731
0,18,0.0549501151189562,0.054221028396009174,0.4980606417572364,4.323427632331812,787.7853350639343
0,19,0.05387567152724482,0.05115118956254794,1.865540775950748,2.032526410512582,825.8052217960358
1,0,0.29623944742901,0.3013046815042211,-1.0969033594157782,1.7608783138345148,867.4908955097198
1,1,0.29623944742901,0.3013046815042211,-5.116979233226788,-1.2195954035002927,900.6574127674103
1,2,0.28810437452033766,0.2940905602455871,-1.7334478387679777,3.1301445556484984,944.5218076705933
1,3,0.28472755180353027,0.2916730621642364,-0.11056459500342886,3.7174955933120932,990.1083171367645
1,4,0.05111281657712974,0.03587874136607827,2.669798182463776,6.175139090296462,1143.248621225357
1,5,0.0520337682271681,0.049040675364543374,1.4581081420173805,2.597862396167237,1193.3128957748413
1,6,0.05541059094397549,0.052839600920951635,1.263996913994,3.4600344718156038,1248.5342535972595
1,7,0.05126630851880276,0.044474290099769775,1.4497606757993684,4.664375192590566,1318.7263612747192
1,8,0.0778204144282425,0.08150422102839605,0.15808681475776631,0.7228566098222549,1410.817806005478
1,9,0.05832693783576359,0.05686876438986954,1.3372582094439802,3.1475804607090763,1467.9024019241333
1,10,0.04758250191864932,0.04551036070606296,0.978406949880875,3.340473790869481,1513.4101560115814
1,11,0.05080583269378358,0.04658480429777434,1.7428318552389979,2.940453184149566,1554.4980928897858
1,12,0.06584804297774371,0.049654643131235576,7.734348695975472,0.6318308931754961,1603.1879343986511
