iteration,particle,val_error,train_error,gamma,c,time
0,0,0.23303009097270821,0.2275561830803624,2.7220644471413302,1.7633329524487473,99.2651424407959
0,1,0.22859808724049446,0.21737851511942585,1.5677258302845354,2.8381108706624882,200.40984654426575
0,2,0.291812456263121,0.2872102600305918,0.10367467590588042,6.227605961672831,302.646155834198
0,3,0.1663167716351761,0.1637839745852453,1.7620938076613912,7.063685488965186,406.0022897720337
0,4,0.22393282015395377,0.22020237675020593,5.717972320865794,2.096538486198909,507.1211051940918
0,5,0.21810123629577793,0.21714319331686083,5.616839615667791,2.705230273853234,609.5720121860504
0,6,0.055516678329834424,0.057947993881633186,8.924518008744469,6.763503109644718,715.4692757129669
0,7,0.15115465360391878,0.15284151076597252,2.1003392863554327,9.016971152378517,820.030886888504
0,8,0.304875204105435,0.298682197905636,0.4335186139876457,5.256825180845508,922.58558344841
0,9,0.25099136925588994,0.24191081303682782,1.3146432621230908,1.07448925258808,1021.2359504699707
0,10,0.2544903195707954,0.24091069537592658,1.084297838630519,2.1759917072153323,1121.1225380897522
0,11,0.22160018661068348,0.21990822449699965,7.2802762327335895,0.6259593906715599,1218.6084184646606
0,12,0.18031257289479818,0.17796211318978705,3.84680909641225,5.287693765566201,1322.7690093517303
0,13,0.05411709820387223,0.056712554418166805,6.195402421761187,9.688764122068877,1429.292138338089
0,14,0.2132027058549102,0.20455347687963288,2.237535548458567,3.1519732188473015,1532.375191450119
0,15,0.05528341497550737,0.0581833156841981,6.472672100396134,9.019549399356505,1638.766851902008
0,16,0.23303009097270821,0.22243793387457345,2.4376625333552546,1.4751899611459862,1737.704641342163
0,17,0.11289946349428504,0.11636663136839631,6.011857171816062,4.8793284882563706,1841.9887464046478
0,18,0.19757406111499887,0.19737616190140017,2.2518572962748684,5.781031105792818,1945.0269362926483
0,19,0.22090039654770233,0.21626073655724198,1.0139033443910195,4.301408075096074,2046.7591404914856
1,0,0.205271751807791,0.20555359454053423,3.9755761751098295,4.623584673680464,2149.6039395332336
1,1,0.055749941684161364,0.057477350276503136,7.94829827442494,12.283690849348215,2257.579930305481
1,2,0.04455330067646368,0.04465231203671016,9.656740422798237,11.65540458401819,2366.0253591537476
1,3,0.026358759038955015,0.02653253323920457,9.362985468746142,11.564373356394675,2473.7277874946594
1,4,0.05061814788896668,0.053300388280974276,6.587366435581302,15.921884380893095,2585.4820189476013
1,5,0.10216934919524145,0.10501235439463463,5.764196147258576,4.483895122823464,2689.36843419075
1,6,0.059948682062048064,0.0647134957053771,6.9598460193018745,8.86937887406079,2797.1649112701416
1,7,0.15675297410776767,0.15678315095893636,2.2589594887905933,9.042992713786322,2901.251622915268
1,8,0.1460228598087241,0.14784092246146607,3.015765787629796,7.243043956949371,3005.820778608322
1,9,0.2080709120597154,0.20108248029179898,2.16842777648302,2.581372556075636,3105.5787193775177
1,10,0.18264520643806859,0.1789622308506883,3.272390192034289,5.3922514425492505,3209.3913099765778
1,11,0.11919757406111497,0.11807271443699263,6.860603392030626,4.131816908747944,3312.7916910648346
1,12,0.04898530440867743,0.04947640898929284,7.526275022431678,12.182709705526708,3421.3461775779724
1,13,0.056216468392815466,0.05988939875279442,6.195402421761187,9.688764122068877,3527.690095424652
1,14,0.22369955679962683,0.22484998235086484,3.034266889947319,4.467850268802081,3629.585380792618
1,15,0.055983205038488415,0.05994822920343568,6.185897742899619,9.711704499322277,3737.651651620865
1,16,0.05015162118031258,0.05165313566301921,7.02881758237578,11.510422201614467,3844.3313324451447
1,17,0.07651038021926759,0.07983292152017885,6.042554880875652,5.683700466674454,3948.697054862976
1,18,0.19010963377653367,0.1905518296270149,2.515265120527613,6.042046871765815,4050.3535730838776
1,19,0.045253090739444835,0.04388751617837394,9.426979284779115,13.048729046172111,4157.853481769562
2,0,0.05015162118031258,0.050829509354041624,8.634091094094455,10.62531312340804,4264.601288557053
2,1,0.043153720550501484,0.04218143310977762,8.669893672240752,11.916785575470525,4371.548742771149
2,2,0.04851877770002333,0.04688786916107779,9.20871118463055,11.516565558500345,4479.888682603836
2,3,0.04245393048752044,0.040122367337333764,9.362985468746142,11.564373356394675,4587.109082221985
2,4,0.05341730814089107,0.054535827744440546,11.422408409332508,8.331235789429055,4693.297322273254
2,5,0.043153720550501484,0.04371102482645017,10.687732531130058,14.17076175601334,4801.402855396271
2,6,0.045253090739444835,0.04547593834568775,8.927307614913307,11.075783560897753,4909.36354136467
2,7,0.032656869605784955,0.031591951994352274,15.876247187099036,13.876078305564887,5017.773121595383
2,8,0.03358992302309305,0.032827391457818544,12.5514929173343,13.735180681518006,5124.087646484375
2,9,0.015162118031257332,0.01429579950582427,16.509590605907196,20.48750142244925,5232.695328950882
2,10,0.04595288080242599,0.045064125191198956,8.542996102419798,10.73340789126605,5340.549964904785
2,11,0.049451831117331424,0.050358865748911685,8.643320481324121,9.42682981650892,5447.201625347137
2,12,0.051784464660601826,0.05224144016943166,8.322930556452905,11.91451224663439,5555.430900096893
2,13,0.036855609983671545,0.036886692552065004,9.266878235454545,11.507465735797702,5663.315840005875
2,14,0.032423606251457904,0.03323920461230734,12.530321312155074,15.115972571788628,5770.664041996002
2,15,0.05108467459762067,0.05100600070596539,10.741711923293291,12.36835605538696,5877.589326143265
2,16,0.05668299510146957,0.05853629838804564,8.129587654337463,11.535865022962753,5985.850430727005
2,17,0.02962444599953351,0.02870925991293094,10.03207177595155,12.74936355677387,6093.739189147949
2,18,0.0342897130860742,0.03412166137192607,12.99667478752562,14.494752773426402,6200.6014902591705
2,19,0.04432003732213674,0.04488763383927519,9.338033180368729,10.985597569576514,6309.286144733429
3,0,0.012362957779332828,0.011236616072479166,22.874008794475326,28.45742009178001,6417.267787694931
3,1,0.02099370188943317,0.02112013178020944,13.512601215028063,17.211055319624965,6523.159811496735
3,2,0.019594121763470973,0.019002235557124325,13.427741308314136,16.700687424331075,6629.55286693573
3,3,0.013062747842313982,0.012766207789151718,20.098031373006737,24.96796674937511,6736.098349094391
3,4,0.032890132960112006,0.03200376514884107,13.922486389541149,14.305390214474848,6842.75060915947
3,5,0.03149055283414981,0.03165078244499353,11.374116878717569,14.915491562054298,6950.764308452606
3,6,0.05341730814089107,0.05488881044828808,9.042003957930465,11.218153559684586,7058.988942861557
3,7,0.02939118264520646,0.028297446758442146,15.953388505163183,14.681350577085427,7165.785187721252
3,8,0.019827385117798024,0.020237675020590706,20.193854959425977,26.772675909466045,7273.278136968613
3,9,0.019594121763470973,0.019943522767384425,16.509590605907196,20.48750142244925,7379.931892871857
3,10,0.01679496151154658,0.01723732203788686,15.896690427334782,19.737082198217717,7486.863101005554
3,11,0.03638908327501744,0.03370984821743739,17.94243746779706,22.50221085270873,7595.3808743953705
3,12,0.029157919290879408,0.027062007294975876,21.924635966458695,26.158083195983252,7702.101587057114
3,13,0.02939118264520646,0.028473938110365915,13.83654682277087,17.1732694970627,7808.580430269241
3,14,0.028224865873571314,0.025532415578303325,18.93704822198537,23.764273527064695,7915.151827335358
3,15,0.009330534173081384,0.007177314978232707,21.752117960067036,27.867136817265582,8022.924013376236
3,16,0.02962444599953351,0.027356159548182157,15.806971128480143,19.736953466145007,8129.005055427551
3,17,0.01656169815721953,0.016884339334039322,14.70343555983997,18.329842429839395,8236.03714132309
3,18,0.011196641007697683,0.010295328862219066,15.990566673314483,19.602088810345016,8343.588744163513
3,19,0.011663167716351786,0.011530768325685337,14.93732304529697,18.40433673374324,8450.264773130417
4,0,0.021926755306741263,0.019590540063536888,22.67219277107054,28.351234516952946,8557.201390504837
4,1,0.009797060881735487,0.00729497587951522,28.935173736390873,37.156908307892365,8664.164368391037
4,2,0.026358759038955015,0.026414872337922057,16.059059900076818,20.230379450630547,8771.154577255249
4,3,0.02519244226731976,0.023002706200729528,22.880785213584165,29.84538774052618,8877.838695764542
4,4,0.013529274550968085,0.011295446523120312,21.485744253876874,27.405749500064577,8983.909809827805
4,5,0.018194541637508777,0.016707847982115553,28.03147322417196,35.70371162339919,9088.990933895111
4,6,0.008864007464427393,0.006236027767972718,34.228195839360744,44.20955606682706,9196.06641459465
4,7,0.02099370188943317,0.019590540063536888,17.033711311975104,17.137906916158435,9302.583831071854
4,8,0.014462327968276179,0.012648546887869205,21.820921268202692,27.915461478154523,9408.544351577759
4,9,0.020060648472125076,0.01894340510648307,17.316281816983206,21.62303903852294,9516.009240865707
4,10,0.01282948448798693,0.011707259677609105,25.413308034195115,32.950570111757735,9622.838205337524
4,11,0.019827385117798024,0.018708083303918155,22.352886897828913,28.713160750096097,9730.495309829712
4,12,0.010030324236062538,0.00823626308977532,21.776670204896384,27.623909435881732,9836.997163772583
4,13,0.024492652204338716,0.024002823861630773,16.08985444755655,20.217468374579273,9945.347874403
4,14,0.01282948448798693,0.011530768325685337,22.15980650100622,28.461328259781954,10052.78181552887
