iteration,particle,val_error,train_error,gamma,c,time
0,0,0.0639797818568768,0.013369250723336279,7.635753315591586,7.292249979168352,59.773277044296265
0,1,0.06530992285182224,0.009744254880441616,7.703304614913753,7.769228413851643,120.12414479255676
0,2,0.05599893588720406,0.019954105557218438,5.858511482170183,5.669988683197593,178.15877747535706
0,3,0.06597499334929502,0.008813063287771428,7.626071614123104,9.598697686657859,238.2330346107483
0,4,0.055466879489225906,0.030230469919185876,5.408786173776383,2.419873845688114,292.11670446395874
0,5,0.06052141527001864,0.023113505603778006,7.967651321273149,2.3303214836495103,348.6418755054474
0,6,0.06597499334929502,0.062190295653330674,0.3513428430996446,1.8602962998355355,399.09529733657837
0,7,0.048284118116520336,0.03787954371611957,1.631696468758721,7.642533538958816,455.78017020225525
0,8,0.06371375365788778,0.023778642455685284,3.4342651398577297,9.496085301200894,517.0334343910217
0,9,0.06464485235434958,0.04529581961488571,6.257338086407814,0.751842209558865,571.6613564491272
0,10,0.048417132216014847,0.03481991419734609,2.1295439216325773,6.959234690983434,629.8837893009186
0,11,0.05759510508113863,0.04709168911503547,3.5900996224650585,0.9352063000657462,682.4190862178802
0,12,0.06198457036445859,0.030230469919185876,7.160985728678822,1.720293944767377,740.9391601085663
0,13,0.06411279595637143,0.06095979247730221,0.8551834808573522,0.5397220059005525,791.5093705654144
0,14,0.04894918861399311,0.03249193521567062,2.8625907050434787,4.413886417833036,847.7611646652222
0,15,0.06517690875232773,0.009311915926701886,9.97437273621479,5.228901743322213,907.8695862293243
0,16,0.05932428837456771,0.05613755030097445,0.7262025697861263,1.2942547127890114,958.9874668121338
0,17,0.05879223197658956,0.03551830789184873,5.4551887080031864,1.6958063549203073,1012.8683140277863
0,18,0.06225059856344772,0.055671954504639354,3.0929799877975386,0.5507800670534846,1063.784340620041
0,19,0.05892524607608407,0.01629585287172841,5.362756834661684,8.514550215415724,1122.4838027954102
1,0,0.06304868316041501,0.014034387575243557,7.198918081192335,7.3177354475526135,1182.2497143745422
1,1,0.053737696195796714,0.02108483820546081,4.648491583563787,7.705484320769325,1239.8719692230225
1,2,0.04908220271348762,0.034254547873224905,2.0499118345098144,7.44736328293978,1297.0074694156647
1,3,0.05879223197658956,0.02178323189996345,3.902118037500786,8.383447673498834,1355.1483879089355
1,4,0.05839318967810592,0.05168113339319569,0.940692461060034,8.597999005956396,1410.597089290619
1,5,0.05293961159882943,0.02504240247430911,3.9239596861134283,5.720646691494723,1468.3293800354004
1,6,0.05014631550944404,0.030928863613688518,2.243253879907699,10.404403358155962,1524.8684945106506
1,7,0.04761904761904767,0.03551830789184873,1.631696468758721,7.642533538958816,1581.0119171142578
1,8,0.06797020484171323,0.06641391466294189,0.04784956869150969,6.013889781963228,1630.7536385059357
1,9,0.05626496408619308,0.031427716252618976,5.044731022575842,2.558229662671316,1684.6472117900848
1,10,0.06251662676243686,0.04509627855931353,1.6802284999135513,7.575923012407817,1740.502988576889
1,11,0.04908220271348762,0.034853171039941455,2.254171348349582,5.510621778346666,1794.8796045780182
1,12,0.058127161479116785,0.026173135122551483,5.698257001181728,3.2869745032140014,1851.1213202476501
1,13,0.051077414205905836,0.029764874122850782,2.141820948148884,12.308673181130546,1909.024859905243
1,14,0.046820963022080386,0.0383118826698593,1.194254990769122,8.789946636638955,1965.7788586616516
1,15,0.23437084330939084,0.22501579700023278,-2.974259728358243,8.975089420341575,2022.6753907203674
1,16,0.04881617451449849,0.03521899630849046,1.7237664899815077,8.288022334539658,2079.1518683433533
1,17,0.055200851290236774,0.05281186604143806,0.23722991345950195,9.811365500095222,2131.8931007385254
1,18,0.04748603351955305,0.039409358475506306,1.4247969732261017,8.646637257821013,2188.354882955551
1,19,0.25711625432295826,0.2480295320762247,-1.3767379690098895,6.939407686657952,2245.402871608734
2,0,0.2310454908220272,0.2215903422129103,-2.2190528725856806,9.62681457619777,2301.581351041794
2,1,0.06211758446395321,0.058332501912268464,0.4525126879688255,9.022817649919052,2355.1745731830597
2,2,0.046687948922585765,0.042402474309089055,0.6201784714627225,9.690711451656213,2410.7480733394623
2,3,0.05865921787709494,0.05643686188433272,0.15882662524740887,8.945383063713237,2462.5449776649475
2,4,0.046687948922585765,0.036748811067877196,1.3494346037510314,8.907418090628186,2518.2831070423126
2,5,0.06530992285182224,0.0639196514682896,0.07479770717636125,10.048672602485302,2569.336503982544
